Country,Happiness rank,Happiness Score,GDP per capita,Social support,Healthy life,Freedom,Generosity,Corruption,Year
Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019
Dominican Republic,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019
Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
Turkey,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019
Malaysia,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019
Belarus,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019
Greece,82,5.287,1.181,1.156,0.999,0.067,,0.034,2019
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019
Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019
Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019
Turkmenistan,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
Morocco,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019
Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019
Lebanon,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019
Indonesia,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019
China,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019
Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019
Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019
Cameroon,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019
Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019
Ivory Coast,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019
Jordan,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019
Benin,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019
Congo (Brazzaville),103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019
Gabon,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019
Laos,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019
South Africa,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019
Albania,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019
Venezuela,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019
Palestinian Territories,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019
Somalia,112,4.668,,0.698,0.268,0.559,0.243,0.27,2019
Namibia,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019
Niger,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
Armenia,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019
Iran,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019
Georgia,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019
Gambia,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019
Kenya,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019
Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2019
Tunisia,124,4.461,0.921,1,0.815,0.167,0.059,0.055,2019
Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019
Iraq,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019
Congo (Kinshasa),127,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2019
Mali,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019
Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019
Chad,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019
Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019
Swaziland,135,4.212,0.811,1.149,,0.313,0.074,0.135,2019
Uganda,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019
Egypt,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019
Togo,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019
India,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019
Liberia,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019
Comoros,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019
Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2019
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019
Haiti,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019
Botswana,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019
Syria,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141,2019
Malawi,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019
Yemen,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,2019
Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019
Afghanistan,154,3.203,0.35,0.517,0.361,,0.158,0.025,2019
Central African Republic,155,3.083,0.026,,0.105,0.225,0.235,0.035,2019
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091,2019
