Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
6,752,3,0,1296,3,103,32,45,59,4,1,2,506,382,49,29,2074,2263,2,54
6,4262,3,0,1316,1,80,40,45,59,4,1,3,539,313,40,6,2255,2365,2,54
7,1467,2,0,250,4,62,38,110,9,3,1,1,305,349,131,10,864,227,6,172
7,4932,4,0,1145,1,62,39,110,9,5,2,3,679,378,121,10,837,166,6,172
7,133,1,1,510,1,196,41,110,9,2,0,2,245,182,129,10,878,204,6,172
7,3890,2,0,895,1,11,42,110,9,3,0,2,456,171,49,10,874,274,6,172
7,3060,3,0,1254,3,62,43,110,9,4,2,6,914,324,78,10,887,201,6,172
7,194,2,2,395,1,11,45,110,9,2,0,2,264,111,71,10,861,188,6,172
7,1459,2,0,436,4,62,46,110,9,3,0,1,552,177,71,10,966,173,6,172
7,146,1,2,319,1,11,50,110,9,2,0,1,179,108,104,10,869,237,6,172
7,1673,2,0,1041,1,196,50,110,9,3,0,4,727,12,69,10,868,226,6,172
7,3303,1,2,238,1,179,1,110,9,2,0,1,81,80,106,10,879,199,6,172
7,4098,1,2,144,1,196,1,110,9,2,0,2,69,51,96,10,852,200,6,172
7,4060,1,2,111,3,62,3,110,9,2,0,1,0,62,81,10,890,277,6,172
7,2754,3,0,653,1,196,3,110,9,4,0,2,695,192,66,10,917,193,6,172
7,4106,2,2,523,3,11,9,110,9,3,1,1,24,211,130,10,888,244,6,172
7,3358,1,2,173,1,24,12,110,9,2,0,1,91,81,106,10,920,248,6,172
7,2558,2,0,460,1,196,13,110,9,3,0,2,556,100,66,10,975,177,6,172
7,4698,1,2,319,0,18,14,110,9,2,1,1,129,80,129,10,878,236,6,172
7,2951,2,0,647,3,62,17,110,9,3,1,2,484,204,81,10,986,224,6,172
7,3289,2,2,317,1,189,25,110,9,3,1,1,159,155,123,10,881,190,6,172
7,633,1,0,667,3,196,32,110,9,2,1,1,625,122,66,10,922,180,6,172
7,4683,2,2,523,3,11,33,110,9,3,1,1,25,3,130,10,888,243,6,172
7,2271,1,0,269,3,40,40,110,9,2,0,1,108,105,112,10,932,238,6,172
9,4349,4,0,873,1,51,38,87,16,5,2,6,542,358,81,10,1268,354,6,169
9,3927,2,0,583,1,78,38,87,16,3,0,2,483,167,86,10,1406,262,6,169
9,3389,1,1,140,1,196,42,87,16,2,0,1,32,81,125,10,1325,335,6,169
9,3607,2,0,466,1,51,43,87,16,3,0,2,484,247,83,10,1417,265,6,169
9,373,2,0,510,4,62,45,87,16,3,1,1,0,192,128,10,1281,364,6,169
9,458,2,0,334,1,189,46,87,16,3,0,1,281,168,86,10,1280,348,6,169
9,4504,2,0,499,0,179,47,87,16,3,0,3,490,164,76,10,1401,275,6,169
9,2784,3,0,687,3,78,50,87,16,3,0,4,509,251,81,10,1187,335,6,169
9,2193,2,0,454,1,196,10,87,16,3,1,2,125,146,128,10,1342,347,6,169
9,713,2,0,496,1,62,12,87,16,3,0,2,535,117,76,10,1455,329,6,169
9,2853,3,0,477,3,144,22,87,16,4,1,4,268,253,124,10,1264,318,6,169
9,173,2,0,381,3,74,24,87,16,5,1,2,229,122,126,10,1449,304,6,169
9,1934,2,0,520,1,78,24,87,16,3,0,1,481,235,76,10,1428,278,6,169
9,2722,2,0,753,1,196,24,87,16,3,1,1,540,239,66,10,1278,401,6,169
9,4995,2,0,620,1,196,28,87,16,3,1,3,505,192,76,10,1370,280,6,169
9,4524,3,0,948,3,141,32,87,16,4,0,4,583,237,76,10,1287,340,6,169
9,4032,1,2,33,1,78,34,87,16,2,0,1,107,71,86,10,1350,401,6,169
11,5752,1,2,347,1,80,38,44,103,2,0,1,0,80,80,25,1065,2309,5,159
11,1302,2,2,805,1,98,39,44,103,3,1,2,0,122,114,25,1054,2173,5,159
11,4132,2,1,955,1,80,39,44,103,3,1,2,55,134,116,25,1069,2141,5,159
11,5390,2,0,1313,1,80,39,44,103,3,1,2,249,224,16,25,968,2324,5,159
11,2988,2,0,1289,1,70,42,44,103,3,0,1,171,164,15,25,1000,2206,5,159
11,3288,2,1,1305,3,80,42,44,103,3,1,2,0,244,111,25,1076,2317,5,159
11,953,2,0,1337,1,98,42,44,103,3,1,1,159,164,32,25,1020,2331,5,159
11,5983,2,2,527,0,98,46,44,103,3,1,1,1046,8,86,25,1065,2309,5,159
11,538,0,0,1102,3,80,50,44,103,2,1,1,98,143,23,25,1035,2267,5,159
11,1432,0,2,25,0,196,1,44,103,1,0,1,0,27,91,25,960,2211,5,159
11,5784,1,2,340,1,196,2,44,103,2,0,1,0,76,86,25,1020,2192,5,159
11,4168,1,0,958,1,98,7,44,103,2,0,0,202,116,32,25,1065,2173,5,159
11,3711,3,0,1466,1,98,7,44,103,4,1,2,574,327,23,25,1077,2190,5,159
11,5630,2,0,1260,0,141,12,44,103,3,1,2,357,172,32,25,1061,2154,5,159
11,2822,3,0,1369,0,80,12,44,103,4,0,2,445,242,23,25,969,2311,5,159
11,3758,5,0,1562,1,98,16,44,103,5,2,4,1002,518,52,25,984,2133,5,159
11,584,0,2,163,3,80,17,44,103,1,0,1,0,46,86,25,1079,2113,5,159
11,1262,2,0,1019,4,80,18,44,103,2,0,2,166,138,23,25,1066,2159,5,159
11,5120,1,2,489,3,62,19,44,103,2,0,1,0,77,85,25,1021,2212,5,159
11,983,1,2,381,4,98,19,44,103,3,0,1,0,118,86,25,992,2226,5,159
11,5208,2,0,1296,1,98,22,44,103,3,0,2,281,145,23,25,1040,2172,5,159
11,581,1,2,499,1,80,28,44,103,2,0,1,1062,86,86,25,1021,2212,5,159
11,150,1,2,346,1,196,28,44,103,2,0,1,0,101,86,25,998,2168,5,159
11,5575,2,0,1010,1,98,28,44,103,3,0,2,140,86,40,25,1052,2190,5,159
11,346,1,2,250,1,196,31,44,103,1,0,1,0,80,86,25,961,2207,5,159
11,4312,3,0,1529,1,80,32,44,103,4,0,2,659,358,23,25,1020,2173,5,159
11,4320,3,0,1546,4,82,32,44,103,4,2,3,513,440,116,25,1011,2145,5,159
11,3398,2,1,880,1,80,32,44,103,3,0,2,57,3,116,25,1066,2141,5,159
11,3937,2,0,1525,1,98,32,44,103,3,1,2,567,395,114,25,1044,2311,5,159
11,302,2,2,680,1,80,33,44,103,2,0,1,0,105,57,25,1080,2311,5,159
11,4682,0,2,306,1,196,34,44,103,1,0,1,0,46,129,25,1057,2111,5,159
12,3459,2,0,762,1,112,39,41,21,3,0,2,251,145,40,21,2165,1000,6,202
12,6003,1,2,189,3,21,39,41,21,2,0,1,0,57,96,21,2190,1006,6,202
12,5371,2,0,1065,3,112,42,41,21,3,1,2,230,258,32,21,2165,1027,6,202
12,2105,1,2,214,4,80,42,41,21,2,0,1,375,57,86,21,2229,812,6,202
12,4335,3,0,1279,1,21,42,41,21,4,2,1,428,379,23,21,2238,983,6,202
12,6102,2,0,785,3,112,43,41,21,3,1,2,238,188,23,21,2208,886,6,202
12,5665,1,0,499,0,112,43,41,21,2,0,1,168,81,17,21,2166,939,6,202
12,5571,5,0,1419,0,21,43,41,21,6,2,2,898,503,14,21,2252,986,6,202
12,884,1,0,544,3,96,43,41,21,2,0,1,180,106,40,21,2214,890,6,202
12,495,1,0,854,1,112,45,41,21,2,0,1,222,146,23,21,2210,1110,6,202
12,513,2,0,1064,1,112,45,41,21,3,0,1,369,249,23,21,2196,1013,6,202
12,999,2,0,784,1,21,46,41,21,3,0,2,303,182,27,21,2192,898,6,202
12,5212,1,0,546,0,112,46,41,21,2,0,1,72,85,17,21,2126,1109,6,202
12,3967,1,0,770,3,143,46,41,21,2,0,1,127,129,23,21,2235,1012,6,202
12,192,1,2,468,1,21,47,41,21,2,0,2,182,104,111,21,2257,861,6,202
12,4216,2,0,974,1,112,50,41,21,4,0,2,544,220,76,21,2111,859,6,202
12,4760,1,0,569,0,112,1,41,21,2,0,1,180,100,23,21,2169,990,6,202
12,925,3,0,706,3,143,2,41,21,4,0,1,253,280,17,21,2183,940,6,202
12,5616,2,0,1105,1,112,3,41,21,3,0,1,437,194,23,21,2245,945,6,202
12,2887,2,0,809,0,21,7,41,21,3,1,2,391,171,71,21,2212,823,6,202
12,5705,2,0,1102,1,112,7,41,21,3,1,2,482,218,66,21,2227,833,6,202
12,5742,0,2,109,1,2,7,41,21,1,0,1,0,52,88,21,2248,893,6,202
12,4787,2,0,1096,0,80,9,41,21,3,1,2,445,208,40,21,2109,849,6,202
12,4922,3,0,1045,1,112,10,41,21,3,1,2,633,339,94,21,2208,1143,6,202
12,5491,2,0,772,1,21,10,41,21,3,0,1,216,167,32,21,2202,912,6,202
12,1030,3,0,879,4,112,12,41,21,4,1,5,509,293,40,21,2146,935,6,202
12,3313,1,2,153,1,18,12,41,21,2,0,1,0,57,94,21,2236,1124,6,202
12,5331,3,0,1195,1,143,13,41,21,4,2,2,512,307,17,21,2110,822,6,202
12,2866,5,0,1100,1,112,13,41,21,4,1,1,412,396,23,21,2134,1114,6,202
12,2034,1,2,366,3,21,13,41,21,2,0,1,254,131,111,21,2146,938,6,202
12,4908,2,0,762,1,112,13,41,21,3,2,1,441,186,66,21,2242,935,6,202
12,5199,2,0,706,3,21,14,41,21,3,0,1,195,149,40,21,2185,910,6,202
12,5281,2,0,934,3,21,16,41,21,3,1,2,567,223,49,21,2218,856,6,202
12,6079,3,0,1129,1,143,16,41,21,4,1,2,547,267,56,21,2194,882,6,202
12,3408,1,1,676,3,112,17,41,21,2,1,1,100,196,131,21,2266,829,6,202
12,997,1,2,167,1,2,18,41,21,2,0,1,0,57,91,21,2232,1024,6,202
12,2536,2,0,842,1,2,19,41,21,3,0,2,456,149,40,21,2163,931,6,202
12,222,2,1,851,1,80,19,41,21,3,1,2,271,239,129,21,2216,825,6,202
12,4048,1,2,163,1,102,19,41,21,2,0,1,0,62,86,21,2209,936,6,202
12,4273,3,0,1100,1,112,22,41,21,4,1,0,370,237,23,21,2183,993,6,202
12,2485,2,0,902,1,112,25,41,21,3,1,1,225,235,23,21,2169,1100,6,202
12,5612,2,0,905,1,21,27,41,21,3,0,1,249,131,32,21,2175,979,6,202
12,2811,3,0,770,0,112,27,41,21,4,1,1,251,218,40,21,2164,927,6,202
12,1766,1,2,109,0,80,28,41,21,2,0,1,1032,70,128,21,2235,868,6,202
12,1395,3,0,1048,1,80,28,41,21,4,0,1,502,232,40,21,2177,937,6,202
12,4338,2,0,1066,1,12,28,41,21,3,1,2,368,249,23,21,2242,849,6,202
12,2799,2,0,762,1,80,29,41,21,3,1,2,238,255,127,21,2164,857,6,202
12,5360,2,0,805,1,112,29,41,21,3,1,1,267,261,126,21,2164,834,6,202
12,5046,2,0,589,1,21,29,41,21,3,1,1,526,171,57,21,2114,1022,6,202
12,1587,1,0,491,0,112,31,41,21,2,0,3,205,145,32,21,2103,1012,6,202
12,5536,1,0,557,0,112,31,41,21,2,0,1,78,81,23,21,2126,1105,6,202
12,27,2,1,809,1,112,32,41,21,3,1,2,154,215,119,21,2183,1096,6,202
12,7,2,0,1024,1,12,33,41,21,2,0,1,231,246,23,21,2178,1029,6,202
12,4917,2,0,962,1,163,34,41,21,3,0,1,403,259,76,21,2189,976,6,202
12,454,1,2,281,1,112,34,41,21,2,0,2,148,72,23,21,2172,915,6,202
12,4529,3,0,1225,1,80,40,41,21,4,1,4,548,384,128,21,2169,900,6,202
13,5173,3,0,1452,1,98,38,86,107,4,2,2,703,487,131,2,901,2953,5,98
13,5307,2,0,1212,1,80,39,86,107,3,1,2,549,324,49,2,896,2860,5,98
13,3344,2,1,1337,1,53,39,86,107,3,2,4,263,422,130,2,810,2892,5,98
13,3145,2,0,1153,1,80,43,86,107,3,1,2,681,223,52,2,907,2845,5,98
13,1581,2,0,879,0,98,50,86,107,3,2,2,229,263,120,2,866,2965,5,98
13,4569,2,0,1043,1,25,50,86,107,3,0,2,533,153,66,2,880,2976,5,98
13,853,7,0,1480,1,196,1,86,107,9,6,4,998,532,125,2,826,2978,5,98
13,87,2,0,1143,1,80,1,86,107,3,1,2,466,216,40,2,893,2839,5,98
13,5928,2,0,1226,1,196,2,86,107,3,0,2,755,124,66,2,871,3042,5,98
13,4366,2,0,1203,1,80,2,86,107,3,0,3,730,227,57,2,988,3015,5,98
13,4418,3,0,1151,4,98,7,86,107,4,1,2,730,267,55,2,986,3017,5,98
13,5324,2,0,1206,1,80,10,86,107,3,1,2,304,335,122,2,809,2876,5,98
13,1717,2,0,1208,1,80,12,86,107,3,1,3,652,216,61,2,815,2868,5,98
13,3084,4,0,1524,1,80,17,86,107,5,4,2,705,504,131,2,989,2988,5,98
13,2075,2,1,718,1,80,19,86,107,3,1,2,107,149,106,2,920,3004,5,98
13,1364,4,0,1463,1,80,24,86,107,6,3,2,924,482,126,2,847,2913,5,98
13,3177,2,0,1135,4,80,24,86,107,3,1,2,660,208,61,2,922,3117,5,98
13,5209,3,0,1260,1,80,28,86,107,4,1,4,699,309,66,2,901,2956,5,98
13,3972,2,0,1273,1,80,28,86,107,3,1,3,674,249,57,2,960,3095,5,98
13,1251,2,0,1089,1,25,31,86,107,3,0,1,555,151,66,2,860,2961,5,98
13,4574,1,0,1105,0,80,31,86,107,2,0,1,637,131,57,2,839,2865,5,98
13,411,3,1,985,4,116,32,86,107,4,1,2,274,300,123,2,874,2994,5,98
13,4441,4,0,1174,1,98,32,86,107,5,2,4,650,374,66,2,833,2946,5,98
13,4591,3,0,1286,1,80,32,86,107,4,1,3,646,385,116,2,849,2931,5,98
13,3619,3,0,1258,0,196,33,86,107,4,1,2,464,347,52,2,910,2958,5,98
13,5949,3,0,1316,1,169,33,86,107,4,1,2,788,389,57,2,846,2860,5,98
13,1829,2,0,1199,1,98,34,86,107,3,0,1,647,243,63,2,943,3120,5,98
14,382,3,0,948,3,137,42,95,107,4,2,2,325,304,132,20,844,3218,5,88
14,1735,1,0,868,4,80,43,95,107,2,0,2,645,160,66,20,872,3159,5,88
14,3958,3,0,1135,1,53,45,95,107,2,1,2,571,306,116,20,931,3241,5,88
14,418,1,1,484,1,196,47,95,107,2,0,2,320,149,86,20,912,3299,5,88
14,145,2,0,558,0,53,47,95,107,3,1,4,352,111,66,20,893,3279,5,88
14,3700,2,0,1059,1,53,1,95,107,3,0,1,742,542,66,20,939,3192,5,88
14,6076,3,0,879,4,169,2,95,107,3,1,2,752,227,86,20,958,3327,5,88
14,421,1,2,472,1,145,10,95,107,2,0,1,170,104,119,20,849,3234,5,88
14,4914,2,0,1190,1,80,12,95,107,3,1,3,732,319,66,20,958,3240,5,88
14,3157,3,0,1135,1,25,12,95,107,4,1,1,543,362,49,20,920,3179,5,88
14,1518,4,0,1146,1,25,16,95,107,5,2,2,535,424,116,20,942,3242,5,88
14,4072,1,2,349,1,116,17,95,107,2,0,1,107,86,86,20,869,3181,5,88
14,1628,3,0,980,1,169,19,95,107,4,1,2,716,289,66,20,950,3305,5,88
14,2263,1,2,484,1,196,24,95,107,2,0,2,146,101,123,20,854,3238,5,88
14,3964,1,0,887,1,53,27,95,107,2,0,1,536,98,66,20,883,3291,5,88
14,1221,2,0,1024,1,80,28,95,107,3,0,1,710,171,76,20,1013,3258,5,88
14,211,2,0,664,1,116,28,95,107,3,1,1,273,95,74,20,864,3309,5,88
14,180,2,1,719,1,80,32,95,107,3,1,2,209,199,128,20,920,3304,5,88
14,3941,2,0,948,4,25,33,95,107,3,1,2,783,299,86,20,968,3306,5,88
14,2249,2,1,636,1,12,34,95,107,2,0,2,166,192,128,20,834,3298,5,88
16,5701,2,0,658,1,107,38,81,23,3,0,1,543,168,86,21,2320,426,6,151
16,5954,2,0,544,3,107,38,81,23,3,0,1,0,130,96,21,2378,379,6,151
16,1463,2,1,660,1,112,39,81,23,3,2,1,507,270,133,21,2286,356,6,151
16,1904,3,0,919,1,112,43,81,23,3,1,2,519,330,124,21,2351,407,6,151
16,5300,2,0,462,1,112,45,81,23,3,0,2,520,171,86,21,2444,341,6,151
16,6096,2,0,393,3,107,50,81,23,3,0,1,500,214,86,21,2379,383,6,151
16,3132,3,0,770,1,107,2,81,23,4,2,3,711,391,86,21,2543,458,6,151
16,5674,2,0,491,1,112,22,81,23,3,0,1,531,138,76,21,2298,359,6,151
16,1939,3,0,879,4,21,22,81,23,4,2,2,813,485,108,21,2417,394,6,151
16,2396,2,0,711,1,112,22,81,23,3,0,1,536,168,81,21,2368,376,6,151
16,254,1,0,254,1,112,27,81,23,2,0,1,174,124,111,21,2493,395,6,151
16,5526,3,0,462,0,112,27,81,23,4,1,2,504,210,76,21,2360,390,6,151
16,1923,2,0,687,1,49,28,81,23,3,0,3,761,167,76,21,2358,360,6,151
16,694,3,0,559,1,112,29,81,23,4,1,2,539,224,77,21,2473,337,6,151
16,2207,1,2,129,0,12,32,81,23,2,0,1,0,95,111,21,2420,389,6,151
16,531,2,0,612,1,112,32,81,23,3,1,2,543,130,86,21,2421,362,6,151
16,4291,2,0,403,1,112,33,81,23,4,1,1,532,228,66,21,2456,355,6,151
17,1728,3,0,1270,1,59,38,47,137,3,1,1,197,267,23,24,903,1830,5,93
17,5473,1,2,128,0,196,39,47,137,2,0,2,0,55,81,24,823,1875,5,93
17,315,1,1,826,1,59,47,47,137,2,0,2,68,171,116,24,834,1880,5,93
17,4143,1,2,229,1,25,12,47,137,2,0,1,0,62,76,24,832,1865,5,93
17,244,1,2,250,1,59,12,47,137,2,0,0,0,52,86,24,809,1896,5,93
17,5087,1,2,167,3,25,16,47,137,2,0,1,0,55,76,24,830,1883,5,93
17,4967,2,0,942,1,103,18,47,137,3,0,1,132,122,40,24,911,1860,5,93
17,3290,1,2,133,1,36,18,47,137,2,0,1,0,42,76,24,890,1888,5,93
17,2082,1,2,196,1,196,22,47,137,2,0,1,0,53,86,24,904,1814,5,93
17,187,1,0,794,1,25,28,47,137,2,0,0,113,94,49,24,810,1838,5,93
17,498,2,0,1219,1,103,28,47,137,3,1,2,292,238,17,24,839,1800,5,93
17,3330,1,2,275,4,103,31,47,137,2,0,1,433,44,86,24,829,1893,5,93
18,1567,1,0,1346,1,98,38,74,75,2,0,1,609,177,40,2,1689,3003,5,184
18,3741,3,0,1260,4,98,38,74,75,4,1,2,665,322,101,2,1670,3175,5,184
18,2071,1,1,989,1,116,38,74,75,2,0,1,162,189,116,2,1641,3195,5,184
18,2306,2,2,863,2,130,39,74,75,3,1,2,160,153,114,2,1595,3012,5,184
18,832,4,0,1436,0,141,39,74,75,5,2,2,665,496,125,2,1782,2954,5,184
18,2921,3,0,1414,4,142,39,74,75,4,1,2,694,332,101,2,1613,2934,5,184
18,4622,1,2,613,1,116,39,74,75,2,0,1,76,117,93,2,1647,3131,5,184
18,3683,5,0,1543,4,80,39,74,75,6,3,7,1043,505,52,2,1750,3233,5,184
18,2598,4,0,1381,0,116,39,74,75,5,2,2,550,462,122,2,1736,2996,5,184
18,4165,4,0,1465,4,98,43,74,75,5,2,2,628,455,117,2,1755,2886,5,184
18,1319,1,0,1279,4,53,45,74,75,3,0,1,899,246,49,2,1719,3027,5,184
18,4053,2,0,484,4,98,46,74,75,3,0,1,142,149,86,2,1730,2822,5,184
18,3272,1,0,224,1,98,46,74,75,2,0,1,0,73,76,2,1593,3044,5,184
18,3209,2,0,1352,3,80,46,74,75,3,1,2,649,359,101,2,1624,3184,5,184
18,1113,3,0,1260,0,80,50,74,75,3,1,2,527,302,64,2,1778,2866,5,184
18,615,1,2,404,1,53,50,74,75,2,0,1,0,71,130,2,1661,2906,5,184
18,262,1,2,258,1,196,1,74,75,2,0,1,0,76,76,2,1619,3212,5,184
18,198,2,0,725,1,82,2,74,75,3,0,2,234,224,111,2,1803,2824,5,184
18,3556,3,0,1244,0,7,2,74,75,4,2,2,404,415,132,2,1762,3223,5,184
18,790,1,1,557,1,37,2,74,75,2,0,1,75,122,76,2,1666,3098,5,184
18,3320,2,1,1060,1,80,2,74,75,3,1,2,173,243,119,2,1646,3055,5,184
18,2312,3,1,1080,0,116,7,74,75,4,2,2,194,347,125,2,1765,3261,5,184
18,4564,3,0,1506,1,53,7,74,75,4,1,4,856,348,47,2,1599,2986,5,184
