Agencia_ID,Town,State
1313,2293 GRANJAS MARINELA,JALISCO
1314,2263 LIBERTAD,JALISCO
1315,2268 PALOMAR,JALISCO
1330,2253 ATOTONILCO,JALISCO
1331,2254 AUTLAN_BM,JALISCO
1332,2255 CD GUZMAN,JALISCO
1333,2258 COLIMA BIMBO,COLIMA
1334,2259 FRESNILLO BIMBO,ZACATECAS
1335,2264 MANZANILLO BIMBO,COLIMA
1336,2269 PUERTO VALLARTA BIMBO,JALISCO
1337,2277 ZACATECAS BIMBO,ZACATECAS
1338,2274 TEPATITLAN BIMBO,JALISCO
1339,2267 OCOTLAN BIMBO,JALISCO
1340,2275 TEPIC BIMBO,NAYARIT
1341,2262 LA PEÑITA,NAYARIT
1342,2265 MATEHUALA BIMBO,SAN LUIS POTOSÍ
1344,2315 SAN LUIS POTOSI MARINELA,SAN LUIS POTOSÍ
1345,2272 SAN LUIS REY,SAN LUIS POTOSÍ
1346,2276 WONDER LA RAZA,SAN LUIS POTOSÍ
1347,2251 AGUASCALIENTES NORTE,AGUASCALIENTES
1348,2256 CD. MANTE,MICHOACÁN
1349,2257 CD. VALLES,SAN LUIS POTOSÍ
1350,2271 RIO VERDE BIMBO,MICHOACÁN
1351,2252 AGUASCALIENTES SIGLO XXI,AGUASCALIENTES
1353,2293 GRANJAS MARINELA,JALISCO
1354,2272 SAN LUIS REY,SAN LUIS POTOSÍ
1355,2251 AGUASCALIENTES NORTE,AGUASCALIENTES
1356,2504 TAMPICO MARINELA,TAMAULIPAS
1357,2258 COLIMA BIMBO,COLIMA
1358,2264 MANZANILLO BIMBO,COLIMA
1359,2275 TEPIC BIMBO,NAYARIT
1360,2269 PUERTO VALLARTA BIMBO,JALISCO
1361,2304 MARIANO OTERO_MM,JALISCO
1363,2321 ZACATECAS MARINELA,ZACATECAS
1364,2257 CD. VALLES,SAN LUIS POTOSÍ
1366,2325 TECOMAN,COLIMA
1367,2293 GRANJAS MARINELA,JALISCO
1368,2260 GONZALEZ GALLO,JALISCO
1371,2315 SAN LUIS POTOSI MARINELA,SAN LUIS POTOSÍ
1372,2255 CD GUZMAN,JALISCO
1373,2277 ZACATECAS BIMBO,ZACATECAS
1374,2251 AGUASCALIENTES NORTE,AGUASCALIENTES
1375,2329 AG.HUEJUTLA,HIDALGO
1376,2267 OCOTLAN BIMBO,JALISCO
1377,2368 TAMPICO BIMBO,TAMAULIPAS
1378,2328 SANTIAGO IXCUINTLA,NAYARIT
1379,2330 TLAQUEPARQUE,JALISCO
1380,2330 TLAQUEPARQUE,JALISCO
1381,2268 PALOMAR,JALISCO
1382,2278 ZAPOPAN BIMBO,JALISCO
1383,2309 NORTE,JALISCO
1384,2321 ZACATECAS MARINELA,ZACATECAS
1385,2269 PUERTO VALLARTA BIMBO,JALISCO
1386,2273 SAN PEDRO,JALISCO
1387,2272 SAN LUIS REY,SAN LUIS POTOSÍ
1415,2465 LAREDO,TAMAULIPAS
1419,2467 LINCOLN,NUEVO LEÓN
1420,2478 SAN NICOLAS,NUEVO LEÓN
1423,2468 MATAMOROS BIMBO,TAMAULIPAS
1427,2469 MONCLOVA BIMBO,COAHUILA
1430,2451 ACUÑA,COAHUILA
1431,2474 PIEDRAS NEGRAS,COAHUILA
1434,2480 VICTORIA BIMBO,TAMAULIPAS
1435,2477 SALTILLO BIMBO,COAHUILA
1436,2465 LAREDO,TAMAULIPAS
1437,2476 SABINAS,COAHUILA
1438,2468 MATAMOROS BIMBO,TAMAULIPAS
1439,2461 HIDALGO BIMBO,NUEVO LEÓN
1441,2477 SALTILLO BIMBO,COAHUILA
1442,2465 LAREDO,TAMAULIPAS
1443,2469 MONCLOVA BIMBO,COAHUILA
1445,2479 SANTA CATARINA BIMBO,NUEVO LEÓN
1447,2469 MONCLOVA BIMBO,COAHUILA
1448,2505 TORREON,COAHUILA
1449,2474 PIEDRAS NEGRAS,COAHUILA
1451,2480 VICTORIA BIMBO,TAMAULIPAS
1452,2145 Cruce De Anden Norte,NUEVO LEÓN
1453,2481 WONDER GUERRERO,NUEVO LEÓN
1454,2455 CHIHUAHUA BIMBO,CHIHUAHUA
1455,2472 OJINAGA,CHIHUAHUA
1456,2505 TORREON,COAHUILA
1459,2473 PARRAL BIMBO,CHIHUAHUA
1461,2457 DELICIAS BIMBO,CHIHUAHUA
1462,2454 CUAHUTEMOC,CHIHUAHUA
1463,2458 GOMEZ PALACIO BIMBO,DURANGO
1464,2505 TORREON,COAHUILA
1465,2475 REYNOSA BIMBO,TAMAULIPAS
1469,2488 JUAREZ,CHIHUAHUA
1470,2515 CAVAZOS,NUEVO LEÓN
1471,2516 ESCOBEDO,NUEVO LEÓN
1472,2499 REYNOSA MARINELA,TAMAULIPAS
1473,2467 LINCOLN,NUEVO LEÓN
1474,2477 SALTILLO BIMBO,COAHUILA
1475,2458 GOMEZ PALACIO BIMBO,DURANGO
1476,2516 ESCOBEDO,NUEVO LEÓN
1477,2487 AEROPUERTO,NUEVO LEÓN
1478,2515 CAVAZOS,NUEVO LEÓN
1479,2485 CHIHUAHUA MARINELA,CHIHUAHUA
1480,2475 REYNOSA BIMBO,TAMAULIPAS
1481,2468 MATAMOROS BIMBO,TAMAULIPAS
1482,2480 VICTORIA BIMBO,TAMAULIPAS
1484,2496 LA FE,NUEVO LEÓN
1491,2462 JUAREZ BIMBO,CHIHUAHUA
1492,2468 MATAMOROS BIMBO,TAMAULIPAS
1493,2478 SAN NICOLAS,NUEVO LEÓN
1494,2451 ACUÑA,COAHUILA
1495,2474 PIEDRAS NEGRAS,COAHUILA
1496,2476 SABINAS,COAHUILA
1498,2457 DELICIAS BIMBO,CHIHUAHUA
1499,2454 CUAHUTEMOC,CHIHUAHUA
1512,2520 HERMOSILLO SUR,SONORA
1518,2563 MEXICALI PONIENTE,BAJA CALIFORNIA NORTE
1524,2152 Cruce De Anden Noroeste,BAJA CALIFORNIA NORTE
1530,2552 CABORCA,SONORA
1531,2566 NOGALES_BW,SONORA
1532,2551 AGUA PRIETA,SONORA
1533,2558 GUAYMAS,SONORA
1534,2554 CD. OBREGON,SONORA
1535,2565 NAVOJOA,SONORA
1536,2564 MOCTEZUMA,SONORA
1538,2553 CANANEA,SONORA
1539,2555 ENSENADA II,BAJA CALIFORNIA NORTE
1541,2570 SANTA ANA,SONORA
1542,2567 PUERTO PEÑASCO,SONORA
1544,2561 LOS MOCHIS,SINALOA
1545,2557 BW_GUASAVE,SINALOA
1546,2556 GUAMUCHIL,SINALOA
1548,2555 ENSENADA II,BAJA CALIFORNIA NORTE
1549,2555 ENSENADA II,BAJA CALIFORNIA NORTE
1550,2572 TIJUANA EL FLORIDO,BAJA CALIFORNIA NORTE
1551,2573 TIJUANA GATO BRONCO,BAJA CALIFORNIA NORTE
1552,2574 TIJUANA PACIFICO,BAJA CALIFORNIA NORTE
1554,2571 TECATE,BAJA CALIFORNIA NORTE
1555,2562 MEXICALI PLAZA,BAJA CALIFORNIA NORTE
1556,2563 MEXICALI PONIENTE,BAJA CALIFORNIA NORTE
1557,2568 SAN LUIS R.C.,SONORA
1558,2563 MEXICALI PONIENTE,BAJA CALIFORNIA NORTE
1560,2574 TIJUANA PACIFICO,BAJA CALIFORNIA NORTE
1562,2555 ENSENADA II,BAJA CALIFORNIA NORTE
1563,2566 NOGALES_BW,SONORA
1564,2561 LOS MOCHIS,SINALOA
1571,2554 CD. OBREGON,SONORA
1573,2520 HERMOSILLO SUR,SONORA
1576,2571 TECATE,BAJA CALIFORNIA NORTE
1578,2520 HERMOSILLO SUR,SONORA
1579,2562 MEXICALI PLAZA,BAJA CALIFORNIA NORTE
1580,2305 MAZATLAN BIMBO,SINALOA
1581,2290 DURANGO BIMBO,DURANGO
1583,2573 TIJUANA GATO BRONCO,BAJA CALIFORNIA NORTE
1585,2563 MEXICALI PONIENTE,BAJA CALIFORNIA NORTE
1586,2289 CULIACAN MARINELA,SINALOA
1587,2289 CULIACAN MARINELA,SINALOA
1588,2573 TIJUANA GATO BRONCO,BAJA CALIFORNIA NORTE
1589,2555 ENSENADA II,BAJA CALIFORNIA NORTE
1591,2520 HERMOSILLO SUR,SONORA
1592,2297 LA PAZ,BAJA CALIFORNIA SUR
1593,2290 DURANGO BIMBO,DURANGO
1594,2566 NOGALES_BW,SONORA
1595,2558 GUAYMAS,SONORA
1596,2565 NAVOJOA,SONORA
1597,2554 CD. OBREGON,SONORA
1598,2561 LOS MOCHIS,SINALOA
1599,2314 SAN LUCAS,BAJA CALIFORNIA SUR
1602,2417 ZACATLAN,PUEBLA
1611,2376 CONVENIENCIA VERACRUZ SUR,VERACRUZ
1612,2352 CORDOBA,VERACRUZ
1613,2361 ORIZABA,VERACRUZ
1614,2355 JALAPA I,VERACRUZ
1615,2358 MARTINEZ DE LA TORRE,VERACRUZ
1616,2363 POZA RICA,VERACRUZ
1617,2370 TEZIUTLAN,PUEBLA
1618,2373 TUXPAM,VERACRUZ
1620,2374 TUXTEPEC,OAXACA
1622,2375 VERACRUZ NORTE,VERACRUZ
1623,2354 ISLA,VERACRUZ
1625,2504 TAMPICO MARINELA,TAMAULIPAS
1626,2377 VERACRUZ SUR MLA,VERACRUZ
1628,2364 PUEBLA NORTE BIMBO,PUEBLA
1629,2365 PUEBLA SUR BIMBO,PUEBLA
1631,2372 AG.TULANCINGO,HIDALGO
1632,2353 HUAJUAPAN,OAXACA
1633,2360 OAXACA BIMBO,OAXACA
1634,2415 JUXTLAHUACA,OAXACA
1635,2416 PACHUCA II,HIDALGO
1636,2359 AG.MIXQUIAHUALA,HIDALGO
1637,2367 SAN MARTIN T.,PUEBLA
1640,2359 AG.MIXQUIAHUALA,HIDALGO
1650,2377 VERACRUZ SUR MLA,VERACRUZ
1653,2416 PACHUCA II,HIDALGO
1654,2053 OAXACA MARINELA,OAXACA
1655,2363 POZA RICA,VERACRUZ
1656,2407 TEPEACA,PUEBLA
1657,2365 PUEBLA SUR BIMBO,PUEBLA
1658,2364 PUEBLA NORTE BIMBO,PUEBLA
1659,2364 PUEBLA NORTE BIMBO,PUEBLA
1660,2416 PACHUCA II,HIDALGO
1661,2036 APIZACO MARINELA,TLAXCALA
1663,2372 AG.TULANCINGO,HIDALGO
1664,2360 OAXACA BIMBO,OAXACA
1667,2352 CORDOBA,VERACRUZ
1668,2376 CONVENIENCIA VERACRUZ SUR,VERACRUZ
1669,2355 JALAPA I,VERACRUZ
1670,2363 POZA RICA,VERACRUZ
1671,2063 TEHUACAN MARINELA,PUEBLA
1672,2376 CONVENIENCIA VERACRUZ SUR,VERACRUZ
1673,2036 APIZACO MARINELA,TLAXCALA
1674,2355 JALAPA I,VERACRUZ
1675,2036 APIZACO MARINELA,TLAXCALA
1677,2360 OAXACA BIMBO,OAXACA
1678,2355 JALAPA I,VERACRUZ
1679,2056 PUEBLA NORTE MARINELA,PUEBLA
1680,2063 TEHUACAN MARINELA,PUEBLA
1681,2053 OAXACA MARINELA,OAXACA
1682,2036 APIZACO MARINELA,TLAXCALA
1683,2365 PUEBLA SUR BIMBO,PUEBLA
1684,2416 PACHUCA II,HIDALGO
1685,2372 AG.TULANCINGO,HIDALGO
1686,2359 AG.MIXQUIAHUALA,HIDALGO
1687,2367 SAN MARTIN T.,PUEBLA
1689,2352 CORDOBA,VERACRUZ
1690,2355 JALAPA I,VERACRUZ
1691,2363 POZA RICA,VERACRUZ
1692,2373 TUXPAM,VERACRUZ
1693,2377 VERACRUZ SUR MLA,VERACRUZ
1694,2169 Cruce De Andén Sureste,PUEBLA
1695,2370 TEZIUTLAN,PUEBLA
1697,2412 APAN,HIDALGO
1698,2413 CIUDAD SERDÁN,PUEBLA
1910,2304 MARIANO OTERO_MM,JALISCO
1911,2309 NORTE,JALISCO
1912,2294 GUADALAJARA,JALISCO
1914,2293 GRANJAS MARINELA,JALISCO
1915,2260 GONZALEZ GALLO,JALISCO
1934,2161 IRAPUATO GUADALUPE,GUANAJUATO
1936,2300 LEON MILENIUM,GUANAJUATO
1939,2269 PUERTO VALLARTA BIMBO,JALISCO
1942,2300 LEON MILENIUM,GUANAJUATO
1944,2277 ZACATECAS BIMBO,ZACATECAS
1945,2322 ZAMORA MADERO,MICHOACÁN
1952,2305 MAZATLAN BIMBO,SINALOA
1954,2288 CULIACAN BIMBO,SINALOA
1955,2290 DURANGO BIMBO,DURANGO
1956,2279 ACAPONETA,NAYARIT
1958,2288 CULIACAN BIMBO,SINALOA
1960,2290 DURANGO BIMBO,DURANGO
1961,2297 LA PAZ,BAJA CALIFORNIA SUR
1963,2306 MAZATLAN MARINELA,SINALOA
1964,2310 NUEVO IDEAL,DURANGO
1967,2313 SAN JOSE DEL CABO,BAJA CALIFORNIA SUR
1968,2314 SAN LUCAS,BAJA CALIFORNIA SUR
1970,2297 LA PAZ,BAJA CALIFORNIA SUR
1971,2285 CD. CONSTITUCION,BAJA CALIFORNIA SUR
1972,2316 SANTA ROSALIA,BAJA CALIFORNIA SUR
1973,2576 GUERRERO NEGRO,BAJA CALIFORNIA SUR
1974,2252 AGUASCALIENTES SIGLO XXI,AGUASCALIENTES
1975,2161 IRAPUATO GUADALUPE,GUANAJUATO
1976,2300 LEON MILENIUM,GUANAJUATO
1977,2269 PUERTO VALLARTA BIMBO,JALISCO
1978,2272 SAN LUIS REY,SAN LUIS POTOSÍ
1980,2168 MORELIA ABASTOS,MICHOACÁN
1981,2288 CULIACAN BIMBO,SINALOA
1983,2306 MAZATLAN MARINELA,SINALOA
1985,2290 DURANGO BIMBO,DURANGO
1987,2277 ZACATECAS BIMBO,ZACATECAS
1988,2258 COLIMA BIMBO,COLIMA
1989,2264 MANZANILLO BIMBO,COLIMA
1990,2275 TEPIC BIMBO,NAYARIT
1991,2297 LA PAZ,BAJA CALIFORNIA SUR
1992,2314 SAN LUCAS,BAJA CALIFORNIA SUR
1993,2557 BW_GUASAVE,SINALOA
1995,2574 TIJUANA PACIFICO,BAJA CALIFORNIA NORTE
1997,2573 TIJUANA GATO BRONCO,BAJA CALIFORNIA NORTE
1998,2573 TIJUANA GATO BRONCO,BAJA CALIFORNIA NORTE
2011,2175 TOLUCA AEROPUERTO,ESTADO DE MÉXICO
2012,2176 TOLUCA SAN ANTONIO,ESTADO DE MÉXICO
2013,2177 AGENCIA SUANDY,ESTADO DE MÉXICO
2014,2151 ACAPULCO ESCENICA,GUERRERO
2015,2154 ATLACOMULCO,ESTADO DE MÉXICO
2016,2157 CUAUTLA,MORELOS
2017,2158 CUERNAVACA CIVAC,MORELOS
2018,2159 CHILPANCINGO,GUERRERO
2019,2160 IGUALA,GUERRERO
2020,2182 ZITACUARO,MICHOACÁN
2021,2162 JOJUTLA_BM,MORELOS
2022,2152 ALTAMIRANO_BM,GUERRERO
2023,2169 PINOTEPA,OAXACA
2024,2170 PUERTO ESCONDIDO,OAXACA
2029,2161 IRAPUATO GUADALUPE,GUANAJUATO
2030,2165 LEON SAN JUAN BOSCO,GUANAJUATO
2031,2178 URIANGATO,GUANAJUATO
2032,2155 CELAYA NORPONIENTE,GUANAJUATO
2034,2167 MORELIA LA HUERTA,MICHOACÁN
2036,2179 URUAPAN,MICHOACÁN
2037,2153 APATZINGAN,MICHOACÁN
2038,2164 LAZARO CARDENAS,MICHOACÁN
2040,2181 ZIHUATANEJO,GUERRERO
2043,2156 CELAYA INDUSTRIAL WONDER,GUANAJUATO
2044,2168 MORELIA ABASTOS,MICHOACÁN
2045,2163 LA PIEDAD,MICHOACÁN
2054,2174 SAN MIGUEL DE ALLENDE,GUANAJUATO
2055,2055 Pinotepa,PUEBLA
2057,2057 PUEBLA SUR MARINELA,PUEBLA
2058,2151 ACAPULCO ESCENICA,GUERRERO
2059,2059 QUERETARO BALVANERA,QUERETARO
2060,2301 CUBILETE,GUANAJUATO
2061,2175 TOLUCA AEROPUERTO,ESTADO DE MÉXICO
2062,2186 LAGOS DE MORENO,JALISCO
2063,2034 ACAPULCO COSTERA,GUERRERO
2064,2158 CUERNAVACA CIVAC,MORELOS
2065,2155 CELAYA NORPONIENTE,GUANAJUATO
2066,2168 MORELIA ABASTOS,MICHOACÁN
2068,2322 ZAMORA MADERO,MICHOACÁN
2071,2296 IRAPUATO SAN MIGUELITO,GUANAJUATO
2072,2186 LAGOS DE MORENO,JALISCO
2073,2034 ACAPULCO COSTERA,GUERRERO
2074,2044 CUERNAVACA BUENAVISTA,MORELOS
2075,2167 MORELIA LA HUERTA,MICHOACÁN
2076,2161 IRAPUATO GUADALUPE,GUANAJUATO
2077,2300 LEON MILENIUM,GUANAJUATO
2078,2165 LEON SAN JUAN BOSCO,GUANAJUATO
2080,2080 TEXCOCO WONDER,ESTADO DE MÉXICO
2081,2081 NAUCALPAN II,ESTADO DE MÉXICO
2082,2155 CELAYA NORPONIENTE,GUANAJUATO
2083,2083 AZCAPOTZALCO II MARINELA,"MÉXICO, D.F."
2084,2034 ACAPULCO COSTERA,GUERRERO
2085,2044 CUERNAVACA BUENAVISTA,MORELOS
2086,2165 LEON SAN JUAN BOSCO,GUANAJUATO
2087,2087 AG. TIZAYUCA,ESTADO DE MÉXICO
2088,2161 IRAPUATO GUADALUPE,GUANAJUATO
2089,2156 CELAYA INDUSTRIAL WONDER,GUANAJUATO
2090,2090 AG. TEPEJI DEL RIO,QUERETARO
2092,2186 LAGOS DE MORENO,JALISCO
2094,2094 CHALCO_BM,ESTADO DE MÉXICO
2095,2175 TOLUCA AEROPUERTO,ESTADO DE MÉXICO
2096,2301 CUBILETE,GUANAJUATO
2097,2159 CHILPANCINGO,GUERRERO
2098,2179 URUAPAN,MICHOACÁN
2099,2322 ZAMORA MADERO,MICHOACÁN
2211,2390 INDUSTRIAL,TABASCO
2212,2396 RUIZ CORTINEZ,TABASCO
2213,2396 RUIZ CORTINEZ,TABASCO
2214,2393 MERIDA SUR,YUCATÁN
2215,2392 MERIDA NORTE,YUCATÁN
2216,2380 CAMPECHE,CAMPECHE
2217,2388 CHETUMAL,QUINTANA ROO
2218,2381 CANCUN_BM,QUINTANA ROO
2220,2395 PLAYA DEL CARMEN,QUINTANA ROO
2222,2401 TEKAX,YUCATÁN
2229,2386 COATZACOALCOS MLA.,VERACRUZ
2230,2382 CARDENAS,TABASCO
2231,2392 MERIDA NORTE,YUCATÁN
2233,2394 MINATITLAN,VERACRUZ
2234,2378 ACAYUCAN,VERACRUZ
2235,2384 CIUDAD DEL CARMEN,CAMPECHE
2237,2402 TUXTLA,CHIAPAS
2238,2398 SAN CRISTOBAL,CHIAPAS
2239,2399 TAPACHULA,CHIAPAS
2240,2379 ARRIAGA_BM,CHIAPAS
2241,2391 IXTEPEC,OAXACA
2242,2397 SALINA CRUZ,OAXACA
2243,2381 CANCUN_BM,QUINTANA ROO
2244,2396 RUIZ CORTINEZ,TABASCO
2245,2382 CARDENAS,TABASCO
2246,2402 TUXTLA,CHIAPAS
2247,2386 COATZACOALCOS MLA.,VERACRUZ
2248,2399 TAPACHULA,CHIAPAS
2249,2393 MERIDA SUR,YUCATÁN
2250,2410 CANCUN II,QUINTANA ROO
2251,2395 PLAYA DEL CARMEN,QUINTANA ROO
2252,2380 CAMPECHE,CAMPECHE
2253,2384 CIUDAD DEL CARMEN,CAMPECHE
2254,2384 CIUDAD DEL CARMEN,CAMPECHE
2255,2380 CAMPECHE,CAMPECHE
2256,2381 CANCUN_BM,QUINTANA ROO
2261,2396 RUIZ CORTINEZ,TABASCO
2262,2402 TUXTLA,CHIAPAS
2263,2263 LIBERTAD,JALISCO
2264,2411 COMITAN,CHIAPAS
2265,2396 RUIZ CORTINEZ,TABASCO
2266,2386 COATZACOALCOS MLA.,VERACRUZ
2267,2382 CARDENAS,TABASCO
2269,2384 CIUDAD DEL CARMEN,CAMPECHE
2270,2402 TUXTLA,CHIAPAS
2271,2399 TAPACHULA,CHIAPAS
2273,2386 COATZACOALCOS MLA.,VERACRUZ
2274,2402 TUXTLA,CHIAPAS
2275,2392 MERIDA NORTE,YUCATÁN
2276,2408 ESCARCEGA,CAMPECHE
2278,2392 MERIDA NORTE,YUCATÁN
2279,2380 CAMPECHE,CAMPECHE
2280,2388 CHETUMAL,QUINTANA ROO
2281,2381 CANCUN_BM,QUINTANA ROO
2282,2395 PLAYA DEL CARMEN,QUINTANA ROO
2614,2168 MORELIA ABASTOS,MICHOACÁN
2618,2159 CHILPANCINGO,GUERRERO
2619,2181 ZIHUATANEJO,GUERRERO
2621,2179 URUAPAN,MICHOACÁN
2627,2322 ZAMORA MADERO,MICHOACÁN
2628,2301 CUBILETE,GUANAJUATO
2629,2188 MARAVATIO,MICHOACÁN
2642,2157 CUAUTLA,MORELOS
2643,2157 CUAUTLA,MORELOS
2644,2189 ACAPULCO SAN ISIDRO,GUERRERO
2645,2174 SAN MIGUEL DE ALLENDE,GUANAJUATO
2646,2163 LA PIEDAD,MICHOACÁN
2647,2647 BLM_AG. CAMPESINOS AUTOSERVICI,"MÉXICO, D.F."
2648,2174 SAN MIGUEL DE ALLENDE,GUANAJUATO
2649,2322 ZAMORA MADERO,MICHOACÁN
2650,2186 LAGOS DE MORENO,JALISCO
2651,2174 SAN MIGUEL DE ALLENDE,GUANAJUATO
2653,2190 BI_SAN FRANCISCO DEL RINCON,GUANAJUATO
2655,2655 LOS MOCHIS,SINALOA
2657,2155 CELAYA NORPONIENTE,GUANAJUATO
3211,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F."
3212,2031 AG. PANTITLAN,"MÉXICO, D.F."
3213,2027 AG. VALLEJO,"MÉXICO, D.F."
3214,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
3215,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
3216,3216 NUEVO LAREDO,TAMAULIPAS
3217,2032 AG. SANTA LUCIA,"MÉXICO, D.F."
3219,2003 AG. COACALCO,ESTADO DE MÉXICO
3221,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
3223,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F."
3225,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
3226,2018 AG. TEPALCATES 2,"MÉXICO, D.F."
3229,2087 AG. TIZAYUCA,HIDALGO
4010,2487 AEROPUERTO,NUEVO LEÓN
4011,2493 MITRAS,NUEVO LEÓN
4013,2479 SANTA CATARINA BIMBO,NUEVO LEÓN
