,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
16,0x61d6,JAPRES08DEL03,27,4.900000,26.910262,75.783013,27.000262,75.873013,22:25,22:30,1,2,1,2,3,0.0,1,1,29.000000
17,0xa40f,JAPRES13DEL03,29,4.700000,26.846156,75.8023,26.936156,75.8923,23:15,23:30,2,2,2,3,4,1.0,1,1,14.000000
18,0xcbcc,DEHRES010DEL01,20,4.900000,30.328174,78.049117,30.398174,78.119117,22:25,22:30,2,2,2,1,2,0.0,1,3,15.000000
19,0x6c5c,HYDRES02DEL01,35,4.300000,17.41233,78.449654,17.45233,78.489654,14:55,14:60,6,0,1,3,3,1.0,1,4,34.000000
20,0x2188,MYSRES13DEL02,38,4.600000,12.310972,76.659264,12.390972,76.739264,22:10,22:20,3,2,1,0,3,0.0,1,3,18.000000
21,0x84eb,CHENRES16DEL03,29,4.900000,13.049645,80.242268,13.079645,80.272268,17:45,17:60,1,3,2,0,3,1.0,1,1,14.000000
22,0x8999,SURRES13DEL01,28,4.600000,21.170096,72.789122,21.210096,72.829122,15:50,15:55,3,3,1,3,3,0.0,1,1,27.000000
23,0x2c49,RANCHIRES02DEL02,32,4.50,0.0,0.0,0.05,0.05,17:25,17:40,3,3,0,0,3,0.0,1,1,26.00
24,0xd486,LUDHRES09DEL02,29,4.900000,30.885814,75.786976,30.935814,75.836976,23:55,24:05,3,2,1,3,3,0.0,1,3,10.000000
25,0x6192,RANCHIRES010DEL03,0,,23.354422,85.3329,23.384422,85.3629,,19:15,4,3,1,0,4,0.0,1,1,15.000000
26,0x394e,SURRES18DEL03,39,4.600000,21.149834,72.778666,21.239834,72.868666,19:35,19:50,4,1,0,2,3,1.0,1,3,28.000000
27,0x1341,INDORES09DEL02,32,5.000000,22.725835,75.887648,22.805835,75.967648,17:50,17:55,6,3,2,3,4,1.0,1,1,20.000000
28,0x8bdb,HYDRES12DEL03,21,4.900000,17.429585,78.392621,17.489585,78.452621,17:50,17:55,6,3,2,2,2,1.0,1,1,23.000000
29,0x7a0e,HYDRES17DEL01,27,4.700000,17.451976,78.385883,17.521976,78.455883,19:20,19:30,6,1,1,0,4,1.0,1,1,28.000000
30,0x3175,JAPRES19DEL02,33,4.800000,26.913726,75.75282,26.963726,75.80282,17:30,17:35,3,3,2,1,4,1.0,1,1,27.000000
31,0xc54a,LUDHRES08DEL03,29,4.700000,30.899992,75.831338,30.929992,75.861338,18:55,19:05,3,3,2,0,4,1.0,1,1,28.000000
32,0x1f1d,MYSRES04DEL02,31,4.600000,12.3085,76.665808,12.3585,76.715808,23:35,23:45,4,2,0,2,3,0.0,1,1,22.000000
33,0x29b9,BANGRES06DEL01,35,4.600000,12.979096,77.640625,12.989096,77.650625,9:30,9:45,1,2,0,2,3,1.0,1,3,25.000000
34,0xcacc,AURGRES16DEL01,22,4.80,0.0,0.0,0.11,0.11,17:25,17:30,3,3,0,3,3,1.0,1,3,23.00
35,0x2681,COIMBRES04DEL02,23,4.600000,11.024839,77.007003,11.104839,77.087003,20:45,20:50,6,1,1,1,3,1.0,1,3,23.000000
36,0x7ebf,COIMBRES17DEL02,22,4.700000,11.026117,76.944652,11.106117,77.024652,19:40,19:50,3,1,2,3,4,1.0,1,3,26.000000
37,0x82e4,BANGRES09DEL01,21,4.800000,12.934179,77.615797,12.974179,77.655797,16:25,16:40,2,3,2,0,3,1.0,1,1,23.000000
38,0x4a7c,BANGRES010DEL03,27,4.700000,12.933298,77.614293,12.993298,77.674293,18:20,18:25,2,3,2,1,2,1.0,1,1,21.000000
39,0x7141,SURRES09DEL01,27,4.800000,21.175975,72.795503,21.185975,72.805503,10:10,10:25,0,2,0,0,3,1.0,1,1,16.000000
40,0x3b07,SURRES06DEL03,28,4.700000,21.185047,72.80859,21.245047,72.86859,23:35,23:45,0,2,0,0,3,1.0,1,1,24.000000
41,0xc86,BANGRES12DEL02,37,4.900000,12.939496,77.625999,12.989496,77.675999,18:25,18:30,1,3,2,2,4,,1,1,18.000000
42,0x4a11,RANCHIRES07DEL02,31,4.700000,23.359407,85.325055,23.439407,85.405055,19:60,20:15,2,1,0,1,3,1.0,1,3,46.000000
43,0x5f12,RANCHIRES16DEL01,30,4.700000,23.371292,85.327872,23.411292,85.367872,15:60,16:15,0,3,0,3,3,1.0,1,1,26.000000
44,0x4f8c,SURRES16DEL03,29,4.800000,21.160437,72.774209,21.190437,72.804209,17:35,17:45,2,3,2,2,4,1.0,1,1,28.000000
45,0x788e,SURRES20DEL01,27,5.000000,21.15276,72.778059,21.26276,72.888059,17:30,17:35,1,3,2,3,2,0.0,1,1,26.000000
46,0xdfbc,AGRRES010DEL03,30,4.700000,27.163303,78.057044,27.223303,78.117044,22:10,22:20,4,2,1,3,3,0.0,1,3,15.000000
47,0x52d7,VADRES09DEL03,26,4.80,0.0,0.0,0.06,0.06,21:20,21:25,0,1,1,3,3,1.0,1,1,29.00
48,0x7e1c,MYSRES11DEL02,27,4.800000,12.323225,76.630028,12.403225,76.710028,18:55,19:05,4,3,0,0,3,0.0,1,3,19.000000
49,0x974a,INDORES20DEL01,26,4.700000,22.732225,75.874765,22.842225,75.984765,20:25,20:40,0,1,0,2,3,1.0,2,1,45.000000
50,0xa35b,JAPRES19DEL03,31,4.500000,26.913726,75.75282,27.003726,75.842821,21:10,21:25,6,1,2,0,4,1.0,1,1,43.000000
51,0x6317,SURRES11DEL03,20,4.900000,21.157735,72.768778,21.187735,72.798778,23:20,23:30,4,2,1,2,4,0.0,1,3,21.000000
52,0x3cf6,CHENRES18DEL02,26,5.000000,12.981615,80.231598,13.031615,80.281598,21:10,21:15,3,1,2,3,4,1.0,1,1,23.000000
53,0x7f33,VADRES02DEL02,38,3.90,0.0,0.0,0.08,0.08,19:10,19:20,6,1,1,0,3,1.0,1,1,41.00
54,0xb49e,VADRES12DEL01,39,4.80,0.0,0.0,0.04,0.04,13:30,13:40,4,0,1,2,3,1.0,1,1,15.00
55,0xc6a6,BHPRES08DEL03,28,4.600000,23.232537,77.429845,23.292537,77.489845,23:35,23:45,2,2,2,3,4,0.0,3,4,11.000000
56,0x7e00,SURRES02DEL03,34,4.800000,21.186608,72.794136,21.246608,72.854136,20:40,20:55,3,1,2,3,4,1.0,1,3,31.000000
57,0xaf93,CHENRES01DEL03,22,5.000000,13.005801,80.250744,13.065801,80.310744,23:25,23:40,4,2,2,0,4,1.0,1,1,20.000000
58,0xafd8,MUMRES08DEL01,25,4.800000,19.065838,72.832658,19.075838,72.842658,9:60,10:10,0,2,2,2,3,1.0,1,1,19.000000
59,0x3261,VADRES07DEL01,35,3.90,0.0,0.0,0.11,0.11,17:25,17:35,6,3,1,2,3,2.0,1,1,34.00
60,0x7722,MYSRES02DEL01,31,4.800000,12.304569,76.643622,12.344569,76.683622,16:25,16:30,4,3,1,3,3,1.0,1,1,21.000000
61,0x947d,MUMRES20DEL02,26,4.700000,19.103249,72.846749,19.123249,72.866749,10:20,10:30,1,2,1,3,4,0.0,1,1,18.000000
62,0x3bef,BANGRES15DEL03,33,4.600000,12.975377,77.696664,13.005377,77.726664,18:50,18:55,4,3,0,3,3,0.0,1,1,28.000000
63,0x1219,SURRES19DEL03,38,5.000000,21.149669,72.772629,21.209669,72.832629,19:60,20:10,2,1,2,3,4,1.0,1,1,32.000000
64,0xb965,BANGRES15DEL03,23,4.700000,12.975377,77.696664,13.035377,77.756664,17:45,17:50,1,3,1,0,3,1.0,1,3,12.000000
65,0x5bc6,COIMBRES16DEL01,23,4.700000,11.010375,76.95295,11.020375,76.96295,10:25,10:40,2,2,1,0,4,1.0,1,3,12.000000
66,0x5ffb,RANCHIRES13DEL01,36,4.900000,23.374989,85.335486,23.414989,85.375486,16:15,16:25,6,3,0,0,3,2.0,1,3,34.000000
67,0x5609,RANCHIRES07DEL02,36,4.900000,23.359407,85.325055,23.439407,85.405055,22:55,23:10,1,2,2,2,2,1.0,1,1,29.000000
68,0x8e43,RANCHIRES19DEL03,25,4.800000,23.333017,85.3172,23.423017,85.4072,18:60,19:15,2,3,1,0,4,0.0,1,1,24.000000
69,0x9cbc,RANCHIRES20DEL01,24,5.000000,23.39925,85.390464,23.50925,85.500464,17:15,17:20,0,3,0,3,3,1.0,1,1,44.000000
70,0xb587,HYDRES01DEL01,34,4.400000,17.410371,78.437225,17.520371,78.547225,19:60,20:05,6,1,1,3,4,0.0,1,1,44.000000
71,0x5167,JAPRES19DEL03,22,4.700000,26.913726,75.75282,26.973726,75.812821,21:15,21:30,3,1,2,2,4,0.0,1,1,20.000000
72,0xac47,RANCHIRES18DEL03,37,4.800000,23.351489,85.324253,23.381489,85.354253,22:15,22:20,4,2,1,2,3,1.0,3,1,12.000000
73,0xd161,LUDHRES04DEL03,21,4.900000,30.914057,75.83982,30.944057,75.86982,18:55,19:10,4,3,1,3,4,1.0,1,1,19.000000
74,0x8d04,MYSRES16DEL01,20,4.900000,12.316967,76.603067,12.426967,76.713067,21:45,21:55,1,1,1,3,4,1.0,1,1,33.000000
75,0x13ac,VADRES01DEL02,0,,22.307898,73.167788,22.327898,73.187788,9:30,9:45,6,2,0,2,3,1.0,1,1,24.000000
76,0xa57f,VADRES13DEL03,37,4.900000,22.310237,73.158921,22.340237,73.188921,21:30,21:40,4,1,0,1,3,0.0,1,3,23.000000
77,0xb9e5,JAPRES17DEL02,28,4.900000,26.892312,75.806896,26.912312,75.826896,8:15,8:30,4,2,1,2,4,1.0,1,1,17.000000
78,0x8b41,PUNERES16DEL02,38,4.700000,18.536718,73.830327,18.556718,73.850327,10:25,10:40,4,2,0,2,3,1.0,1,1,20.000000
79,0xbc1a,VADRES14DEL02,26,4.800000,22.311603,73.165012,22.331603,73.185012,8:30,8:35,3,2,2,3,4,0.0,1,1,18.000000
80,0x9156,CHENRES17DEL03,25,4.800000,13.045479,80.23311,13.105479,80.29311,22:40,22:50,0,2,0,0,3,1.0,1,1,21.000000
81,0x8acf,VADRES16DEL02,20,4.70,0.0,0.0,0.05,0.05,18:25,18:40,1,3,2,1,3,0.0,1,1,16.00
82,0xca1,HYDRES19DEL01,20,4.700000,17.458998,78.500366,17.498998,78.540366,15:30,15:45,4,3,2,2,4,1.0,1,1,10.000000
83,0xa94b,HYDRES02DEL03,25,4.700000,17.41233,78.449654,17.47233,78.509654,18:60,19:05,4,3,0,3,3,1.0,1,1,15.000000
84,0x45fa,HYDRES06DEL02,28,4.900000,17.455894,78.375467,17.475894,78.395467,10:20,10:30,4,2,0,1,3,0.0,1,1,14.000000
85,0x4147,RANCHIRES02DEL03,30,4.90,0.0,0.0,0.06,0.06,21:10,21:15,1,1,2,0,4,1.0,1,1,30.00
86,0xd0d0,KNPRES13DEL01,0,,26.481547,80.299775,26.551547,80.369775,,19:35,2,1,1,1,4,1.0,1,1,38.000000
87,0x81c7,JAPRES16DEL03,24,4.900000,26.849596,75.800512,26.989596,75.940512,22:45,22:55,1,2,0,3,3,0.0,1,3,23.000000
88,0xc96,COIMBRES13DEL03,35,5.000000,11.003669,76.976494,11.063669,77.036494,19:55,20:10,0,1,0,2,3,1.0,1,1,33.000000
89,0x1e37,MUMRES13DEL02,21,4.500000,19.178321,72.834715,19.258321,72.914715,17:45,17:50,1,3,0,0,3,1.0,1,1,36.000000
90,0x5249,SURRES07DEL02,32,4.800000,21.170798,72.790489,21.250798,72.870489,20:15,20:20,4,1,2,0,4,1.0,1,1,15.000000
91,0x3158,COIMBRES17DEL02,24,4.100000,11.026117,76.944652,11.046117,76.964652,10:15,10:25,3,2,0,2,3,,1,1,16.000000
92,0x84fe,COIMBRES010DEL02,20,4.800000,11.003008,76.97544,11.083009,77.05544,22:30,22:35,0,2,2,2,4,1.0,1,1,27.000000
93,0xa4af,CHENRES19DEL01,27,4.000000,12.986047,80.218114,13.026047,80.258114,13:30,13:40,6,0,0,1,3,1.0,1,1,33.000000
94,0x26ae,PUNERES20DEL02,23,4.800000,18.592718,73.773572,18.672718,73.853572,21:50,21:55,2,1,2,2,2,1.0,1,3,21.000000
95,0x2b8f,MYSRES14DEL03,20,4.80,0.0,0.0,0.03,0.03,18:20,18:25,4,3,0,0,3,1.0,1,1,21.00
96,0x7a12,SURRES02DEL01,32,4.000000,21.186608,72.794136,21.226608,72.834136,15:50,15:55,2,3,1,3,3,2.0,1,1,32.000000
97,0x37da,PUNERES18DEL02,28,4.900000,18.593481,73.785901,18.723481,73.915901,17:20,17:30,3,3,2,3,4,1.0,1,3,29.000000
98,0x97ca,PUNERES010DEL03,25,4.200000,18.539299,73.897902,18.629299,73.987902,20:45,20:50,2,1,0,2,3,1.0,1,1,35.000000
99,0x2924,COIMBRES11DEL03,31,3.400000,11.001753,76.986241,11.091753,77.076241,23:45,23:50,4,2,0,2,3,1.0,1,3,31.000000
100,0x6ecf,RANCHIRES010DEL03,20,5.000000,23.354422,85.3329,23.444422,85.4229,21:60,22:05,1,1,1,1,4,1.0,1,1,41.000000
101,0x7a6a,COIMBRES13DEL02,38,4.700000,11.003669,76.976494,11.053669,77.026494,17:60,18:10,4,3,0,0,3,1.0,1,1,21.000000
102,0x628c,BANGRES15DEL02,31,4.800000,12.975377,77.696664,13.025377,77.746664,22:15,22:25,2,2,1,3,4,0.0,1,1,24.000000
103,0x52e2,JAPRES07DEL02,36,4.800000,26.766536,75.837333,26.896536,75.967333,18:15,18:20,2,3,0,0,3,1.0,1,1,36.000000
104,0xa200,SURRES07DEL01,30,4.700000,21.170798,72.790489,21.280798,72.900489,22:25,22:30,6,2,0,1,3,1.0,1,1,24.000000
105,0xded5,ALHRES11DEL02,32,4.90,0.0,0.0,0.08,0.08,17:50,17:60,0,3,0,2,3,3.0,2,3,48.00
106,0x2997,MUMRES20DEL02,24,4.100000,19.103249,72.846749,19.233249,72.976749,20:35,20:50,0,1,2,0,2,1.0,1,1,39.000000
107,0x7008,COIMBRES15DEL01,28,4.800000,11.006686,76.951736,11.016686,76.961736,9:35,9:50,6,2,1,3,4,1.0,1,1,18.000000
108,0xc72d,AURGRES01DEL01,26,4.600000,19.876219,75.346017,19.886219,75.356017,11:30,11:35,1,0,1,0,3,0.0,1,1,22.000000
109,0xc3ed,ALHRES12DEL02,23,4.700000,25.443994,81.860187,25.573994,81.990187,21:30,21:45,1,1,1,0,3,1.0,1,1,33.000000
110,0x88c1,SURRES04DEL03,28,4.800000,21.173493,72.801953,21.263493,72.891953,19:50,20:05,3,1,1,0,4,0.0,1,1,19.000000
111,0x6d6c,BANGRES15DEL02,35,4.800000,12.975377,77.696664,13.025377,77.746664,23:55,24:10,0,2,2,0,3,1.0,1,1,18.000000
112,0x7421,CHENRES01DEL02,30,5.000000,13.005801,80.250744,13.055801,80.300744,21:30,21:35,6,1,2,3,3,1.0,1,1,25.000000
113,0x69ed,HYDRES06DEL01,34,5.000000,17.455894,78.375467,17.465894,78.385467,11:35,11:40,2,0,0,3,3,1.0,1,1,33.000000
114,0x78c2,JAPRES010DEL03,27,4.400000,26.921411,75.793604,27.061411,75.933604,17:35,17:45,0,3,1,3,4,1.0,1,1,32.000000
115,0x6eaa,PUNERES05DEL03,29,4.600000,18.543626,73.905101,18.603626,73.965101,20:35,20:50,6,1,1,3,3,1.0,1,1,20.000000
116,0x18b9,RANCHIRES19DEL03,0,,23.333017,85.3172,23.393017,85.3772,,24:10,7,5,2,2,3,1.0,1,3,12.000000
117,0xcf84,KNPRES14DEL02,37,4.600000,26.463504,80.372929,26.513504,80.422929,19:20,19:35,4,1,0,0,3,1.0,1,1,24.000000
118,0xb4e6,SURRES14DEL01,36,5.000000,21.157729,72.768726,21.267729,72.878726,21:30,21:35,1,1,2,1,3,1.0,1,1,44.000000
119,0x4e85,MYSRES16DEL03,31,4.400000,12.316967,76.603067,12.406967,76.693067,18:20,18:25,0,3,1,3,4,1.0,2,1,44.000000
120,0x1255,VADRES05DEL01,30,4.800000,22.310526,73.170937,22.380526,73.240937,23:60,24:15,3,2,0,1,3,1.0,1,1,20.000000
121,0x7740,VADRES03DEL01,24,4.30,22.32,73.17,22.39,73.24,19:15,19:25,1,1,1,3,3,1.0,1,1,34.00
122,0xb1b7,INDORES03DEL03,39,4.600000,22.751857,75.866699,22.781857,75.896699,22:60,23:05,0,2,2,0,4,1.0,1,1,16.000000
123,0x5501,RANCHIRES14DEL03,25,4.90,0.0,0.0,0.06,0.06,21:60,22:15,2,1,0,0,3,1.0,1,3,25.00
124,0x2163,MYSRES15DEL01,37,4.300000,12.352058,76.60665,12.392058,76.64665,13:40,13:45,1,0,1,1,4,0.0,1,3,36.000000
125,0x725b,INDORES03DEL02,31,5.000000,22.751857,75.866699,22.831857,75.946699,18:15,18:20,2,3,0,3,3,1.0,1,1,32.000000
126,0x538f,RANCHIRES01DEL01,22,4.800000,23.416792,85.316842,23.486792,85.386842,19:30,19:35,3,1,1,1,4,1.0,1,1,28.000000
127,0x9a3,VADRES12DEL03,22,4.90,0.0,0.0,0.06,0.06,19:50,19:55,2,1,2,0,2,1.0,1,3,22.00
128,0xabad,BANGRES06DEL01,34,3.500000,12.979096,77.640625,13.089096,77.750625,17:15,17:20,2,3,1,2,4,1.0,1,1,38.000000
129,0xd326,KOLRES16DEL02,27,4.900000,22.539129,88.365507,22.619129,88.445507,17:20,17:25,1,3,1,3,4,0.0,1,1,26.000000
130,0xe120,KOCRES12DEL01,34,4.100000,9.988483,76.295211,10.098483,76.405211,20:10,20:25,1,1,2,0,2,0.0,1,1,48.000000
131,0xb900,RANCHIRES16DEL03,24,4.600000,23.371292,85.327872,23.401292,85.357872,22:35,22:45,4,2,0,3,3,1.0,1,1,19.000000
132,0x1874,CHENRES03DEL02,29,4.600000,13.091809,80.219104,13.111809,80.239104,11:55,12:05,6,0,0,1,3,1.0,1,1,22.000000
133,0xdde9,LUDHRES11DEL03,25,4.900000,30.893081,75.821495,31.033081,75.961495,18:15,18:20,1,3,1,2,3,1.0,1,1,31.000000
134,0x26e0,PUNERES06DEL02,36,4.400000,18.546258,73.904337,18.626258,73.984337,21:25,21:40,2,1,0,0,3,1.0,1,3,51.000000
135,0x6ef3,RANCHIRES14DEL01,24,4.50,0.0,0.0,0.11,0.11,18:55,19:05,0,3,2,2,3,1.0,1,3,30.00
136,0x26b0,SURRES12DEL01,33,4.700000,21.183434,72.814492,21.193434,72.824492,10:40,10:45,3,2,1,2,4,1.0,1,4,24.000000
137,0xcc1,HYDRES04DEL01,22,4.800000,17.411028,78.329645,17.421028,78.339645,11:10,11:15,1,0,1,0,3,0.0,1,1,22.000000
138,0xae17,BANGRES08DEL03,20,4.900000,12.906229,77.596791,12.936229,77.626791,20:50,21:05,3,1,0,0,3,0.0,1,1,19.000000
139,0x478d,JAPRES20DEL01,37,4.300000,26.956431,75.776649,27.026431,75.846649,22:35,22:40,1,2,0,2,3,2.0,1,1,43.000000
140,0x7b21,COIMBRES01DEL03,22,4.700000,11.016298,76.972076,11.046298,77.002076,17:35,17:40,0,3,1,3,4,1.0,1,1,12.000000
141,0xd554,LUDHRES06DEL02,25,4.500000,30.895204,75.822103,31.025204,75.952103,21:35,21:50,3,1,1,1,4,0.0,1,1,19.000000
142,0xdebb,AGRRES010DEL01,38,4.700000,27.163303,78.057044,27.233303,78.127044,22:45,22:50,6,2,1,0,3,1.0,1,3,28.000000
143,0xae1f,INDORES16DEL02,29,4.200000,22.744648,75.894377,22.764648,75.914377,10:10,10:25,6,2,0,0,3,1.0,1,1,21.000000
144,0x46fa,CHENRES16DEL02,20,4.900000,13.049645,80.242268,13.099645,80.292268,21:30,21:45,1,1,2,0,3,0.0,1,3,21.000000
145,0x8183,PUNERES05DEL03,21,4.700000,18.543626,73.905101,18.573626,73.935101,20:20,20:25,4,1,2,1,4,0.0,1,1,13.000000
146,0x3b4f,MYSRES02DEL01,27,4.700000,12.304569,76.643622,12.314569,76.653622,8:40,8:45,1,2,2,1,2,1.0,1,1,14.000000
147,0x9833,MYSRES09DEL01,35,4.800000,12.323194,76.630583,12.393194,76.700583,23:40,23:50,6,2,0,1,3,1.0,1,1,28.000000
148,0x8ea7,CHENRES09DEL03,35,4.900000,13.044694,80.26147,13.104694,80.32147,23:10,23:25,4,2,1,3,3,0.0,1,3,18.000000
149,0x20ef,BANGRES20DEL01,23,5.000000,12.972161,77.596014,13.082161,77.706014,17:45,17:60,3,3,2,0,4,1.0,1,1,26.000000
150,0xc88e,KOCRES010DEL01,30,4.800000,10.035573,76.336958,10.145573,76.446958,22:40,22:45,4,2,1,1,3,1.0,1,3,28.000000
151,0xd358,AURGRES05DEL03,28,4.600000,19.875522,75.367127,19.935522,75.427127,21:40,21:50,1,1,2,2,4,1.0,1,3,28.000000
152,0x7511,MYSRES15DEL01,31,4.000000,12.352058,76.60665,12.462058,76.71665,19:45,19:55,0,1,2,0,3,1.0,1,1,40.000000
153,0x8290,MYSRES20DEL01,32,4.800000,12.337978,76.616792,12.447978,76.726792,23:35,23:40,2,2,0,2,3,0.0,1,1,20.000000
154,0x118a,VADRES13DEL02,34,4.600000,22.310237,73.158921,22.360237,73.208921,20:55,21:10,1,1,2,0,2,1.0,1,1,33.000000
155,0x33e3,COIMBRES03DEL02,37,4.900000,11.025083,77.015393,11.155083,77.145393,22:15,22:30,2,2,1,0,4,0.0,1,1,25.000000
156,0xe037,KOLRES02DEL03,39,5.000000,22.514585,88.39331,22.544585,88.42331,22:60,23:05,1,2,0,0,3,0.0,1,1,28.000000
157,0x6926,RANCHIRES05DEL02,35,4.800000,23.355164,85.324097,23.375164,85.344097,8:45,8:50,0,2,0,0,3,1.0,1,1,27.000000
158,0x521c,INDORES010DEL03,33,4.700000,22.75004,75.902847,22.81004,75.962847,17:45,17:50,1,3,2,3,3,0.0,1,1,17.000000
159,0x67ab,SURRES01DEL01,33,4.400000,21.186438,72.794115,21.256438,72.864115,20:15,20:30,2,1,0,2,3,1.0,2,1,43.000000
160,0xf10,HYDRES13DEL02,32,4.900000,17.431477,78.40035,17.511477,78.48035,22:30,22:35,6,2,0,2,3,1.0,1,1,25.000000
161,0x5690,PUNERES15DEL02,33,4.800000,18.636215,73.751081,18.766215,73.881081,20:20,20:35,0,1,1,1,4,2.0,1,3,44.000000
162,0xcbb4,ALHRES17DEL03,37,4.800000,25.45235,81.841889,25.48235,81.871889,17:60,18:15,0,3,0,3,3,1.0,1,1,32.000000
163,0x8ff0,VADRES07DEL01,27,4.70,0.0,0.0,0.11,0.11,21:50,22:05,1,1,2,2,4,1.0,1,1,41.00
164,0x8ef2,MUMRES03DEL03,24,4.800000,19.22384,72.841347,19.31384,72.931347,21:35,21:50,4,1,2,2,4,1.0,1,3,18.000000
165,0x6008,BANGRES02DEL01,34,4.600000,12.970221,77.645396,13.010221,77.685396,14:10,14:15,2,0,0,3,3,1.0,1,1,36.000000
166,0x46f1,MYSRES20DEL02,21,4.400000,12.337978,76.616792,12.417978,76.696792,20:40,20:55,6,1,0,3,3,1.0,1,1,38.000000
167,0x38ff,JAPRES01DEL03,27,4.700000,26.90519,75.810753,26.93519,75.840753,19:35,19:40,0,1,1,1,3,0.0,1,3,34.000000
168,0x1e23,SURRES09DEL02,35,5.000000,21.175975,72.795503,21.305975,72.925503,23:15,23:30,2,2,2,3,4,1.0,1,1,16.000000
169,0x4a89,HYDRES03DEL01,35,4.400000,17.422819,78.449578,17.492819,78.519578,21:10,21:25,2,1,1,0,3,1.0,1,1,32.000000
170,0x90fe,MUMRES18DEL02,31,4.100000,19.1093,72.825451,19.1293,72.845451,9:45,9:50,2,2,0,2,3,1.0,1,3,32.000000
171,0xafb3,CHENRES13DEL02,34,4.700000,13.027018,80.254791,13.107018,80.334791,18:45,18:50,2,3,2,3,2,1.0,1,1,30.000000
172,0x6300,SURRES04DEL03,21,4.500000,21.173493,72.801953,21.203493,72.831953,19:10,19:15,4,1,2,2,2,0.0,1,3,14.000000
173,0xb017,SURRES01DEL03,29,4.700000,21.186438,72.794115,21.246438,72.854115,23:10,23:20,4,2,1,1,3,1.0,1,1,15.000000
174,0x90d1,VADRES14DEL01,30,4.700000,22.311603,73.165012,22.351603,73.205012,16:45,16:60,0,3,1,3,4,1.0,1,4,15.000000
175,0xd123,GOARES13DEL01,30,4.800000,15.506205,73.766668,15.546205,73.806668,14:50,14:60,4,0,2,2,4,1.0,1,1,21.000000
176,0x31ca,CHENRES08DEL02,35,4.400000,13.022394,80.242439,13.042394,80.262439,8:35,8:50,2,2,0,0,3,1.0,1,1,26.000000
177,0x581e,INDORES03DEL01,32,4.400000,22.751857,75.866699,22.861857,75.976699,22:60,23:15,1,2,0,3,3,1.0,1,3,41.000000
178,0xb9fa,BANGRES06DEL01,27,5.000000,12.979096,77.640625,12.989096,77.650625,10:15,10:25,0,2,2,3,4,,1,3,10.000000
179,0xa24d,VADRES18DEL02,21,4.60,0.0,0.0,0.05,0.05,19:50,19:55,2,1,0,0,3,1.0,1,1,27.00
